[00:00:52 - 00:00:58] 色々な事をたくさん色々な事を喋らなくてはいけないのですから
[00:07:31 - 00:07:32] いくらか当たるのです
[00:07:33 - 00:07:36] だからといて仏教ではそんなものは
[00:07:36 - 00:07:46] 信じるなと手相やら腎臓やらそれから星占いとかそんなものは全部もうゴミ箱にポイ捨てしなさいと
[00:07:47 - 00:07:54] そんな何の意味もないのだと僕も結構いろんな人に僕の手を読んでもらったことあるのです
[00:07:54 - 00:07:55] 遊びで
[00:07:56 - 00:08:00] お金払っていいのですそこで色々言うのですけど
[00:08:01 - 00:08:04] 結局言っていこと私は知っていのです
[00:08:05 - 00:08:17] あなたはこういうこういうではないかこういうこういうではないかとまあそうですよ私が知ってもそんなとはある自分知っているこは人に聞いてもらったと別にどこが何が面白いこ分からなのです
[00:08:18 - 00:08:25] で、私はチャレンジするのはじゃあできれば私が知らなことを言ってください
[00:08:26 - 00:08:30] それは言えないのですね手相を見ても陣痛を見てもです
[00:08:34 - 00:08:37] から、この体は心
[00:08:37 - 00:08:39] が作るものだから
[00:08:41 - 00:08:46] 我々の顔を見たら大体分かるのですよどんな人間かと
[00:08:47 - 00:08:49] 皆様もそうでしょうにちょっと
[00:08:49 - 00:09:01] すごい仕事でストレス溜まっちゃうと家やら長やら全部もう駄目になっちゃうしもう神の皮すごく早く白くなってしまっちゃうしすごく年取ってしまっちゃうし
[00:09:02 - 00:09:04] ですから例えば
[00:09:04 - 00:09:26] 二十歳なのに三十代ぐらいの皮を持っていると当然分かりますねこの人は偉い心で悩んでいるのだと色々な問題でもう悩んでいるという事はよく分かるのですね例えば70歳になたおばちゃんであばすごく可愛くてもう、若々しくいるならばものすごい精神的にストレス何もなく
[00:09:27 - 00:09:30] 元気で健康的でいるという事なのですね
[00:09:31 - 00:09:37] ですから、もし病気になりたくなければ健康な心を作ることなのです
[00:09:39 - 00:09:44] それでお釈迦様は健康な心を作る方法を教えているのです
[00:09:44 - 00:09:46] しっかりした
[00:09:47 - 00:09:49] どんなものにも怖がらない
[00:09:49 - 00:10:04] どんなものに対しても不満が出てこないしっかりした心作ろうを教えてくれるのですそれを実践すれば病気なんかは消えていくだろうとなぜならば心
[00:10:04 - 00:10:07] が体を作りますから
[00:10:08 - 00:10:11] その心がしっかりして心であるならば
[00:10:13 - 00:10:16] 体も適当に治っていくのです
[00:10:17 - 00:10:18] ですから
[00:10:18 - 00:10:25] 、私は申し上げたいのは自分の病気なんかあるならばそんなもの忘れてしまってください
[00:10:26 - 00:10:28] そんなことはどうでもいいのですよ
[00:10:28 - 00:10:33] 足が痛い、お腹が痛い、心臓は良くない腎臓が良くないとかね
[00:10:33 - 00:10:39] 慢性的な肝炎とか何とかとかねそんなものはどうでもいいのですよ。別に
[00:10:41 - 00:10:43] 一体この体は何ですかと
[00:10:46 - 00:10:49] それ、体というのは宿狩りのように
[00:10:49 - 00:10:56] 一時的に使っていだけなのですね一時的に使うために心が作ったものなのですよ
[00:10:56 - 00:11:00] ですから分かりやく言えばもし、例えば
[00:11:02 - 00:11:09] 血液関係の何か障害あるのだとそれはその本人が勝手に病気になているだけなのです
[00:11:10 - 00:11:17] こちらに文句言ったっ何の意も無いのですよお医者さに文句言ったっても環境に文句言ったっも食べ物に文句言ったっも
[00:11:18 - 00:11:21] 自分が勝手に病気になっていだけなのです
[00:11:23 - 00:11:25] ですから、それ
[00:11:26 - 00:11:30] で病気になるとみんなもう体に文句言うのですね
[00:11:31 - 00:11:35] で、何とか悪いとかねあるいは両親に文句言ったりするし
[00:11:36 - 00:11:45] 仕事に文句言ったりするしそれは誰のせいでもないのです例えば、仕事で、すごい仕事は忙しくて大変
[00:11:46 - 00:11:50] きつい仕事でストレス溜まって体が壊せましたと
[00:11:51 - 00:12:01] 言ったら会社にも仕事にも文句言うよりは私は文句本人に言いたいのですねあなたは才能もないのに欲も仕事をしていのですねそんな仕事を辞めなさいと
[00:12:02 - 00:12:05] そんなにストレス溜まるのだったらあたにその仕事はできないのだと
[00:12:06 - 00:12:12] よく仕事できるのだったらものすごい簡単に遊びみたいな感じで仕事するのですよ
[00:12:13 - 00:12:38] 髪の毛をしらぎになったりもうハゲちゃう仕事は大体ハちゃいますからそれはしょうがないのだけどそれはもうホルモンのせいでそれより早くねあげちゃうし年取っちゃうしおじいちゃんになってしまっちゃうしそれはもう、すごい厳しい仕事をしているのだからと言ってそのところから、その一節はうちまで持っていくのですね奥さんに文句言うのですね私はもう仕事してくるのだから
[00:12:38 - 00:12:44] 、吸われていのですよとか何とかとか子供の面倒なん見る暇がないのですよとか
[00:12:47 - 00:13:25] 僕から見れば才能ない人だなとなぜならば、男であるならば仕事をするのは当たり前であって家に帰ったら奥さんとちょっと仲良くして子供たちとちょっと遊んで子供たち何か色々悪いこでも知っていならばそれは正しく指導して教えてするのはやっぱり男の仕事なのですね男の仕事の半分やらない仕事だけやるとのは半分男なのですねいくら会社で偉そうな仕事をしてもそれよりも才能ある人にはならないのですね才能ある人は全部まとめてちゃんとやるのですと同時に何もストレスは溜まっていないのです
[00:13:27 - 00:13:28] すごい健康的なのです
[00:13:30 - 00:13:51] 奥さんにしても同じことなのですよ子育てに覆われてもう体が壊しましたと言うと私はあまりはっきりと女性だから言わないのだけどもう、全然才能がない子育てには全く才能がないということなのですね母になる資格はないのだと
[00:13:51 - 00:13:58] 母になったら、もう子供育てに病気になたとそんなものはもう認めることにはいけませんよ
[00:13:58 - 00:14:13] 例えば、大体赤ちゃんの時は夜は寝られない赤ちゃんというのは、もうすごく夜起きますからそれもお母さが悪いのですよ昼間寝かしておのですよいつうるさいのだから言って子供は昼間寝て夜はこちらも起きるのですね邪魔を見ろと
[00:14:14 - 00:14:15] だ
[00:14:15 - 00:14:23] からそれはそれでそこでお母さんたちがみんなに文句言っちゃうのですね旦那さにも当たっちゃうのですね
[00:14:24 - 00:14:26] 一切溜まっているのだと本
[00:14:27 - 00:14:29] 当は溜まるはずが無いのですよ
[00:14:30 - 00:14:32] 我々の心に十分
[00:14:32 - 00:14:37] 視覚というか才能というかそんなものは無いのだからなのです
[00:14:39 - 00:14:44] いつでも皆様方どこかで偉い心配事あるのですよ
[00:14:45 - 00:14:49] 例えば美しい女性がいても
[00:14:49 - 00:14:54] どこかでもうちょっとあるいは自分が本当に美しいかと
[00:14:54 - 00:14:56] どこかで不満があるのですね
[00:14:57 - 00:14:59] その、どこかに不満があるのだから
[00:15:01 - 00:15:15] そういう不満を解消するために色々なことをする色々なエアログもするしお化粧もするし色々お洒落もするし色々な事をするそれすればするほどその不満が大きくなっちゃうのです
[00:15:16 - 00:15:29] もっと美しくなりたいと頑張れば頑張るほど皆様方忘れていることは自分が自分の心に私はそれほど嫌いじゃないのだと無意識の心に暗示させているのですよ
[00:15:30 - 00:15:32] お化粧すればするほど
[00:15:32 - 00:15:36] それで早く見にくくなってしまうのです
[00:15:37 - 00:15:40] それはもったいないのですね
[00:15:40 - 00:15:48] そういう心の働きが皆様持っているのです男性もそうなのですよどこかで自信がないのですね
[00:15:49 - 00:15:52] 例えば、子供の時勉強する
[00:15:52 - 00:15:54] 勉強しても
[00:15:54 - 00:15:58] 自分には勉強できるという自信が無いのです
[00:15:59 - 00:16:08] その自信が無いのだから更に勉強する塾に行く塾に行くと頭が良くなるかというと良くならないのですただ
[00:16:09 - 00:16:10] 丸暗記するだけ
[00:16:10 - 00:16:30] 同じ内容は十回、百回、二百回、三百回も先生たちから聞いて聞いて聞いて嫌になるほど聞いて頭に叩き込んじゃうのですねそれは知識ではなくて無知なのですよ知識というのは自分に物事を理解することなのですそこ
[00:16:31 - 00:16:36] でずっと不満な人が塾に行くと塾に行く度に
[00:16:37 - 00:16:41] 私には勉強する才能が無いのだとだから塾に行くのだと
[00:16:41 - 00:16:47] だから遊ぶ時間でも勉強していのだという自己暗示かけていのですよ
[00:16:48 - 00:16:50] だから、みんな病気になるのは
[00:16:51 - 00:16:55] 当たり前ではなくて病気にならなかったら不思議でしょうがないのですよ
[00:16:57 - 00:17:01] だから僕が言いたいのは逆なのですね日本の皆様方
[00:17:02 - 00:17:07] 不思議に、よく元気ですねと本当は皆病気に倒れているはずなのにと
[00:17:08 - 00:17:14] それぐらいもう子供の時から我々はストレスのプロなのですね
[00:17:15 - 00:17:22] 日本でストレス解消する方法ではなくてどうすればよくストレス溜まるかとそれ
[00:17:22 - 00:17:25] ばっかりみんな研究してよくやっているのです
[00:17:26 - 00:17:35] それで病気になっていのは当たり前なのです行くや仕事をしても経済状態不満に不安定にやるのは当たり前なのですよ
[00:17:37 - 00:17:41] 例えば本屋さんには僕はよくよく言は本屋さんなのですけど
[00:17:41 - 00:17:48] 本屋さんにある本の数々見るともう嫌になるのですよ
[00:17:49 - 00:17:53] どれほどこの人間がもう落ち着きがないのですかと
[00:17:55 - 00:18:16] ちょっとしたことに専門冊子が出ているのですよ例えばコンピューター原因でも遊び方はまた専門冊子が出ているのですよそれで、コンピューターの種類によってまた冊子が一体出ていてこのゲームによって写真が、冊子が出ていてそれから料理にしたらもう冊子は百冊以上あるのですね
[00:18:17 - 00:18:18] それで
[00:18:19 - 00:18:32] 何だかんでも、もう専門冊子いっぱいそれは知識的に豊かということで我々自分たちを誤魔化していのだけど僕から見れば落ち着ていい連中だなと
[00:18:34 - 00:18:43] ゲーム取ったら自分勝手に発見しながら遊べばいいのに何で冊子見てゲームの遊び方を勉強するそうするとゲームにならないのだから
[00:18:43 - 00:18:50] 料理でも自分で研究しながら自分でもう間違いながらも色々
[00:18:50 - 00:19:09] やって新しいものを発見すればいのだから旦那様、子供様もいるのだから実験台としてお母さ怖いのだから作るもは全部文句言わずに食べるしですから、もう実験すればいいのにもう一生懸命冊子をあげてもう一緒に勉強して作るのですそれですごくストレス溜まってしまっちゃうのですな
[00:19:11 - 00:19:12] ぜならば、もう
[00:19:13 - 00:19:14] 成功と
[00:19:15 - 00:19:18] そうでないという判断があるのだからね
[00:19:18 - 00:19:28] 本能通りに出来上がったら大成功とそうではなかったら失敗しましたとそういう、何で心を痛めるのですかね
[00:19:29 - 00:19:42] 例えば自分勝手な料理を作って作った時にそれは成功でもないし失敗でもないのだからこういう風に料理しまたからこういう風に出来上がったと食べられるものならば食べてくださいと
[00:19:44 - 00:19:48] それで勉強したらこれは食べられなのはこういうわけですよと
[00:19:49 - 00:19:51] 次回はそれ直せばいのだから
[00:19:51 - 00:19:56] ものすごくリラックスして生きていられるのに我々はもう
[00:19:56 - 00:19:57] 子育てから
[00:19:58 - 00:19:59] 死ぬまで
[00:20:00 - 00:20:06] いかにストレス溜まるかとただそれだけ考えてきていのですね
[00:20:06 - 00:20:13] それで、当然ながら病気になるとまた文句言ってくれるのですよそこで悪い
[00:20:13 - 00:20:19] 、怪しい商売している人々がいるのですどこでも、お
[00:20:19 - 00:20:25] 金が入る方法あったら、すぐそこに人が商売するのだからそこで病気を治す
[00:20:26 - 00:20:29] 商売は、もうかなり盛んなのです
[00:20:31 - 00:20:37] 気候補で病気治すとかあるいは運動量病気治すとか色
[00:20:39 - 00:20:53] 々ありますね。自然食ですかそういう方法で病気を治してくれるとか瞑想方法から病気を治してあげるとか腎臓力で病気を治してあげるとか霊の力で病気を治してあげるとかね
[00:20:54 - 00:21:03] 向こうはもう一人で考えていのだけどそんなに病気治してあげるのだからならば一人も病人がいないはずなのですけど何でいるのですかと
[00:21:03 - 00:21:12] 結局、向こうも障害していだけなのですよこっちはもう儲かるものですよ日本では絶対ストレスは止まりません
[00:21:13 - 00:21:19] 赤ちゃんでもストレスを作ってしまうそれから死ぬまでストレス溜まっていのし
[00:21:19 - 00:21:22] それで病気になるのは当たり前なのですね
[00:21:22 - 00:21:27] ですからこの病気治すヒーリングの方々は
[00:21:27 - 00:21:30] もう限りなく儲かっちゃうのですよ僕
[00:21:31 - 00:21:37] から言えば限りなく儲かる権利あるのは食料品作る人々だけなのです
[00:21:38 - 00:21:53] 次に福島が作る人々なのですよなぜかと言うと毎日食べなくてはいない死ぬまで食べなくてはいなそれには終わりがないのですですから農業関係の人々は儲かってもそれは済みがないのです
[00:21:54 - 00:21:55] 毎日食べていのだから
[00:21:56 - 00:22:01] 服とかそういうものを作る人々も儲かってもしょうがないのです
[00:22:01 - 00:22:09] 結構儲かっていのはそちらの方ですけどかわいそうに農業の人々はそれほど儲かってないのですそれすごく良くないのだけど
[00:22:10 - 00:22:13] おかいのですね金持ちになるべき
[00:22:14 - 00:22:17] 農業の方々は金持ちにならない
[00:22:17 - 00:22:25] 金持ちにならなくてもいいこういう色々デザイン関係の人々は偉い金持ちなのですまあそれはそれで
[00:22:25 - 00:22:27] 皆様のことだから
[00:22:27 - 00:22:28] そ
[00:22:29 - 00:22:30] の
[00:22:32 - 00:22:35] 人々は三番目にお医者さんなのですね
[00:22:36 - 00:22:44] なぜならば、いつでも病気になるわけではないのだけどたまに人間は病気になるその時はお医者さのお世話になる
[00:22:45 - 00:22:48] 死ぬ時までも病気になる可能性があるです
[00:22:48 - 00:22:49] から
[00:22:49 - 00:22:52] 農業の関係と
[00:22:52 - 00:22:54] 副総の関係と
[00:22:55 - 00:22:58] 病院の関係その三人が
[00:22:58 - 00:23:00] 儲かっても良いのです
[00:23:03 - 00:23:07] 否認とかそういう事をしてい人々は
[00:23:07 - 00:23:09] よく知っていのですよ
[00:23:09 - 00:23:23] いくら自分が力入れてもいくら自分が神通力やら超能力やら神の力やらこういう媒体として治しても明日また病気になりますと明日また私が儲かりますと
[00:23:25 - 00:23:27] そういう事を知っているのです
[00:23:27 - 00:23:32] ですから私の、私が言いたいのはそうではなくて
[00:23:32 - 00:23:35] いっぺんに自分の心の問題を直してください
[00:23:36 - 00:23:39] 私は儲かりませんだからどうしたっても
[00:23:40 - 00:23:41] ですから
[00:23:41 - 00:23:46] いっぺんに皆様の心を直す方法を教えてあげたいのです
[00:23:47 - 00:23:51] 心を治してしまえば体は綺麗に
[00:23:52 - 00:23:57] 治っていくのですそこでちょっとテー
[00:23:57 - 00:24:00] マはおかしくなりましたけど
[00:24:02 - 00:24:12] 何で心病気かというと色々事で病気なのですね一番分かりやすいのはこのストレスの病気なのです
[00:24:16 - 00:24:23] 母はストレス溜まっているし父はストレス溜まっているしそれで赤ちゃんにもストレス
[00:24:25 - 00:24:27] かかるようにしてあげる
[00:24:28 - 00:24:32] ですから、できれば自分たちが
[00:24:31 - 00:24:33] 今、赤ちゃん
[00:24:33 - 00:24:40] いる方々いらっしゃらないようなのですけど我々は赤ちゃんの時もやっぱり落ち着くこと
[00:24:41 - 00:24:43] 教えてあげなくちゃいけないのですよ
[00:24:47 - 00:24:57] 色々な道具を使って赤ちゃんが泣く時はね色々な道具使ったりおもちゃ使ったり色々な音を使ったりして落ち着かせちゃうのですね
[00:24:58 - 00:25:00] あれも、まあ
[00:24:59 - 00:25:04] できるだけやめた方がいいのです赤ちゃんの機嫌が良い時
[00:25:04 - 00:25:10] おもちゃあげたり色々面白いものを見せたしたっ見せて遊んで良いのだけど
[00:25:11 - 00:25:17] かえって我々は赤ちゃん泣いたり神経質になったりするのはやめるために
[00:25:18 - 00:25:22] 動物買っちゃうのですねそこから間違っているのです例えば
[00:25:23 - 00:25:32] 赤ちゃんがねお腹いっぱいミルクを飲んであ、肉肉笑って遊んでいるとその時は色んな道具見せたり色んな事を
[00:25:32 - 00:25:37] あげたりして遊んだ方がいいのです遊んでい時だから
[00:25:39 - 00:25:45] それから、赤ちゃんが何となくちょっとストレス伝わっている人に泣いたりするとそんな道具とか全部
[00:25:45 - 00:25:46] 置いておいて
[00:25:47 - 00:25:52] やっぱり心を落ち着くことしてあげた方がいいのですね
[00:25:53 - 00:25:59] 小さな赤ちゃんだっらねお母さん抱っこすること一番いいのですけどね
[00:26:00 - 00:26:03] で、胸に抱っこしてあげたりとかそう
[00:26:04 - 00:26:07] するとどんどん、どんどん落ち着く
[00:26:08 - 00:26:13] あまり話しかけない方がいのですよ本人も落ち着てないのだから別に話しかけたっても
[00:26:13 - 00:26:16] 更にもうストレス溜まっちゃいますからね
[00:26:16 - 00:26:24] で、お母さんが子供の機嫌が良い時いっぱい喋ったりして機嫌が悪い時はあまり喋らないで
[00:26:24 - 00:26:35] 無言でただエスキンシップだけで落ち着かせてあげるとそういう風にしてあげると小さい所から一切たまることはどどんなくなるのです
[00:26:38 - 00:26:44] 残念ながら教育戦争でね幼稚園に行かず、そこでまた一節溜まるし
[00:26:45 - 00:26:48] 小学校でまたたまってしうし、中学校ずっと
[00:26:48 - 00:26:54] その一歩なのですねそこで仕事に入ったら更に結婚すればまた
[00:26:55 - 00:27:00] 子供が出たらまたとかそういう風に死ぬまで仕事終わったら
[00:27:01 - 00:27:05] やることないのだからまたストレス溜まったりするそれ癖なのですね
[00:27:05 - 00:27:14] 仕事があるのだからすごいストレス溜まっていよとじゃあ一休みあげますよと言ったらやることないな退屈だなと思ってまたストレスなのですね
[00:27:16 - 00:27:22] 皆様方、じーとしてボケーっとしてること分かりませんって分かる、できないのですね
[00:27:23 - 00:27:26] ちょっと一休みするこはできないのですね
[00:27:28 - 00:27:35] もし三十分あればどうしますかもし私が三十分あげたらものすごくイライラするでしょう
[00:27:37 - 00:27:41] すごくイライラするのですねというこはすごいストレスなのです
[00:27:44 - 00:27:46] 、三十分あったら
[00:27:46 - 00:27:49] 本も読まないで
[00:27:50 - 00:27:52] 寝ることもしないで
[00:27:53 - 00:27:56] 直ちっと待っていることができればそ
[00:27:58 - 00:28:00] の一節全部消えてしうのです
[00:28:02 - 00:28:05] 何もしないで、考えることもいけない
[00:28:05 - 00:28:07] でも、寝ることもいけない
[00:28:09 - 00:28:12] それ、ちょっと難しいかもしれませんそう
[00:28:14 - 00:28:18] いう風に簡単なのですよ。心を癒すことは
[00:28:19 - 00:28:23] 黙ってじっとしていらればもう心は治るのです
[00:28:24 - 00:28:27] 何でそれできないかとは
[00:28:27 - 00:28:34] それは私にはできますからしょうがないのだけど皆様には何で出来なかと皆様から聞かないと
[00:28:40 - 00:28:42] じゃあ、捨て
[00:28:42 - 00:28:44] たまらないように
[00:28:46 - 00:28:49] どうすればいいのですかそこ
[00:28:53 - 00:28:55] は問題なのですね
[00:28:56 - 00:28:57] それは
[00:28:58 - 00:29:01] 自分のことを余計な判断しているでしょう
[00:29:03 - 00:29:14] それは置いておいてください我々はあまりろこな人間じゃないのだとそんな大したものじゃないのだと大した美人でもないし大した知識人でもないのですよ
[00:29:15 - 00:29:19] そんな我々のこ大した仕事ができるわけでもないのですよ
[00:29:20 - 00:29:25] だから適当に、ほどほどにまあ、頑張っていのだと
[00:29:27 - 00:29:30] その考え方は一番良いのですよ
[00:29:31 - 00:29:34] それは社会に入ったら何かものすごい危険な考え方
[00:29:35 - 00:29:38] のように聞こえますけどそれ危険じゃないのです
[00:29:39 - 00:29:46] 大したことをしようとして世界破壊してもう、みんな自己破壊の道に行っていのだからね
[00:29:47 - 00:29:55] 女性の方々はものすごく自分を美しく見せるために綺麗に見せるためにもう何だかんだも完璧にしようと思って
[00:29:56 - 00:29:58] すごい苦しんでいのですよ
[00:30:00 - 00:30:03] まぁ、そこまでしなくたっもいいのだと
[00:30:04 - 00:30:08] ほっとすれば、あの恐ろしい苦しみが全部
[00:30:09 - 00:30:11] じわじわと消えてしまうのです
[00:30:12 - 00:30:16] 男性の場合もものすごくしっかりしなくちゃとかね
[00:30:17 - 00:30:24] もう、しっかり仕事をしなくちゃとか完璧に仕事をしなくちゃとか完璧に勉強しなくちゃとか
[00:30:25 - 00:30:29] そんな余計な、まあ、くだらな考え方
[00:30:30 - 00:30:32] やめて欲しいのです
[00:30:32 - 00:30:35] なぜくだらな考え方と申し上げると
[00:30:36 - 00:30:38] 誰一人も完璧に仕事
[00:30:38 - 00:30:40] をしたことはないのですよ
[00:30:43 - 00:30:50] みんなほどほどにやっているのに何で心の中だけすごく威張って嘘ついていのですかに
[00:30:50 - 00:30:52] 自分はしっかりしているのだと
[00:30:54 - 00:30:56] それ嘘なのですね
[00:30:56 - 00:30:59] ですから、想直になって
[00:31:01 - 00:31:04] あ、物事はほどほどで良いのだと
[00:31:06 - 00:31:08] 完璧にはできませんと
[00:31:11 - 00:31:16] 例えばこちらで私はリパッサナー瞑想指導はしていますけど
[00:31:16 - 00:31:30] その時でも、なかなか結果が出てこないのですね実践する人々はなぜかと言と頭の中で、しっかりやりますと思っていのですね私はそれを嘘だと知っていのだけど言ったら怒られますから言わないし
[00:31:30 - 00:31:32] 嘘言うなと
[00:31:34 - 00:31:43] だから、自分にできるだけのこと精一杯頑張ってもらえば私はものすごい早く成長するように指導できるのに
[00:31:44 - 00:31:45] それは無し
[00:31:45 - 00:31:47] から、ソーチキじゃないのですね
[00:31:48 - 00:31:52] だから僕にも喋りたくても喋るようもなくなってしうのですね
[00:31:54 - 00:31:59] だから、どんな社会にしてもそんなものなのです。人間は
[00:32:00 - 00:32:04] だから、もう、ややこしくなりますから覚えておいてくださいもう
[00:32:04 - 00:32:07] 、完璧に物事をしようと思うことは
[00:32:08 - 00:32:09] 不自然であります
[00:32:10 - 00:32:12] 非現実的であります
[00:32:16 - 00:32:18] 不完全に良いのだと
[00:32:22 - 00:32:25] でも、いい加減ではありませんと
[00:32:25 - 00:32:28] それは私の精一杯だと
[00:32:31 - 00:32:39] 世界評価するのは我々の精一杯の仕事であって完全な仕事ではないのです
[00:32:40 - 00:32:44] お母さんには完全な子育てはできません
[00:32:45 - 00:32:46] 決して
[00:32:48 - 00:32:54] それ完全な子供を育てようと思ったら結局殺人さで終わるのですよ
[00:32:56 - 00:33:01] ですからそれはあり得ないのですお母さんから社会は
[00:33:01 - 00:33:03] 必要としているのは
[00:33:04 - 00:33:12] 精一杯頑張ってくださいとそれで子供はどうなろうかみんなあのお母さんは一生懸命頑張りましたと
[00:33:13 - 00:33:15] それは褒めるのですよ
[00:33:15 - 00:33:17] そこで子供も
[00:33:18 - 00:33:24] お母さんもお母さなりによく頑張りましたとじゃあ、私もい加減なことしてはいけないのだと良くなるのです
