[00:00:30 - 00:00:37] ♪♪
[00:09:00 - 00:09:02] すごく年取ってしまっちゃうし

[00:09:02 - 00:09:04] ですからこの

[00:09:04 - 00:09:06] 例えば二十歳なのに

[00:09:06 - 00:09:08] 三十代ぐらいの顔を持っていると

[00:09:08 - 00:09:10] 当然分かりますね

[00:09:10 - 00:09:13] この人はえらい心で悩んでるんだと

[00:09:13 - 00:09:16] いろんな問題で悩んでるということ

[00:09:16 - 00:09:17] 分かるんですね

[00:09:17 - 00:09:20] 例えば七十歳になったおばあちゃんであれば

[00:09:20 - 00:09:24] すごく可愛くて若々しくいるならば

[00:09:24 - 00:09:27] ものすごい精神的にストレス何もなく

[00:09:27 - 00:09:31] 元気で健康的でいるということなんですね

[00:09:31 - 00:09:35] ですからもし病気になりたくなければ

[00:09:35 - 00:09:40] 健康な心を作ることなんです

[00:09:40 - 00:09:45] それで大阪様は健康な心を作る方法を教えているんです

[00:09:45 - 00:09:47] しっかりした

[00:09:47 - 00:09:50] どんなものにも怖がらない

[00:09:50 - 00:09:53] どんなものに対しても不満が出てこない

[00:09:53 - 00:09:57] しっかりした心底を教えてくれるんです

[00:09:57 - 00:10:00] それ実践すればもう病気なんか

[00:10:00 - 00:10:08] まあ消えていくだろうとなぜならば心が体を作りますから。

[00:10:08 - 00:10:17] その心がしっかりしている心であるならば体も適当に治っていくんです。

[00:10:17 - 00:10:23] ですから私は申し上げたいのは自分の病気なんかあるならば、

[00:10:23 - 00:10:26] そんなもん忘れてしまってください。

[00:10:26 - 00:10:29] そんなことはどうでもいいんですよ。

[00:10:29 - 00:10:33] 足が痛い、お腹が痛い、心臓は良くない、腎臓が良くないとかね、

[00:10:33 - 00:10:41] 慢性的な肝炎とか何とかとかね、そんなものはどうでもいいんですよ、別に。

[00:10:41 - 00:10:46] 一体この体は何ですかと。

[00:10:46 - 00:10:52] それ体ってのは宿狩りのように、一時的に使っているだけなんですね。

[00:10:52 - 00:10:57] 一時的に使うために心が作ったものなんですよ。

[00:10:57 - 00:11:06] ですから分かりやすく言えば、例えば血液関係の何か障害あるんだと、

[00:11:06 - 00:11:10] それはその本人が勝手に病気になっているだけなんです。

[00:11:10 - 00:11:13] こちらに文句言ったって何の意味ないんですよ。

[00:11:13 - 00:11:19] お医者さんに文句言ったっても、環境に文句言ったっても、食べ物に文句言ったっても、

[00:11:19 - 00:11:23] 自分が勝手に病気になっているだけなんです。

[00:11:23 - 00:11:31] ですからそれで病気になるとみんなもう体に文句言うんですね。

[00:11:31 - 00:11:39] 何とか悪いとかね、あるいは両親に文句言ったりするし、仕事に文句言ったりするし、

[00:11:39 - 00:11:41] それは誰のせいでもないんです。

[00:11:41 - 00:11:52] 例えば仕事ですごい仕事は忙しごて、大変きつい仕事でストレス溜まって、体が壊せましたと言ったら、

[00:11:52 - 00:11:57] 会社にも仕事にも文句言うよりは、私は文句本人に言いたいんですね。

[00:11:57 - 00:12:00] あんたは才能もないのによくも仕事をしているんですって。

[00:12:00 - 00:12:02] その仕事をやめなさいと。

[00:12:02 - 00:12:07] そんなにストレス溜まるんだったら、あなたにその仕事はできないんだと。

[00:12:07 - 00:12:13] よく仕事できるんだったら、ものすごい簡単に遊びみたいな感じで仕事をするんですよ。

[00:12:13 - 00:12:18] 髪の毛白毛になったり、もハゲちゃう仕事がだいたいあるじゃないですか、

[00:12:18 - 00:12:21] まあそれはしょうがないんだけど、それはもうホルモンのせいで。

[00:12:21 - 00:12:26] それより早くね、ハゲちゃうし、年取っちゃうし、おじいちゃんになってしまっちゃうし、

[00:12:26 - 00:12:30] それはもうすごい厳しい仕事をしているんだからと言って、

[00:12:30 - 00:12:33] そのところかそのストレスを家まで持っていくんですね。

[00:12:33 - 00:12:35] 奥さんに文句言うんですね。

[00:12:35 - 00:12:41] 私はもう仕事しているから、もう座れているんですよとか何とかとか、

[00:12:41 - 00:12:46] 子供の面倒なんか見る暇がないんですよとか。

[00:12:47 - 00:12:51] 僕から見れば才能ない人だなと。

[00:12:51 - 00:12:55] なぜならば、男であるならば仕事をするのは当たり前であって、

[00:12:55 - 00:12:59] 家に帰ったら奥さんとちょっと仲良くして、子供たちとちょっと遊んで、

[00:12:59 - 00:13:02] 子供たちなんかいろいろ悪いことでもしているならば、

[00:13:02 - 00:13:08] それは正しく指導して教えて、するのはやっぱり男の仕事なんですね。

[00:13:08 - 00:13:13] 男の仕事の半分やらない。仕事だけやるというのも半分男なんですね。

[00:13:13 - 00:13:18] いくら会社で偉そうな仕事をしていたっても、それでも才能ある人にはならないんですね。

[00:13:18 - 00:13:22] 才能ある人は全部まとめてちゃんとやるんです。

[00:13:22 - 00:13:25] と同時に何も一切さまってないんです。

[00:13:27 - 00:13:29] すごい健康的なんです。

[00:13:30 - 00:13:32] で、奥さんについては同じことなんですよ。

[00:13:32 - 00:13:37] 子育てに覆われて、もう体が壊しましたと言うと、

[00:13:38 - 00:13:41] 私はあんまりはっきりと女性だから言わないんだけど、

[00:13:41 - 00:13:47] もう全然才能がない。子育てには全く才能がないということなんですね。

[00:13:47 - 00:13:51] 母になる資格はないんだと。

[00:13:51 - 00:13:58] 母になったらもう子供育てに病気になったら、そんなものはもう認めることにはいけませんよ。

[00:13:58 - 00:14:05] 例えばだいたい赤ちゃんの時は夜は寝られない。赤ちゃんというのはもうすごく夜起きますから。

[00:14:05 - 00:14:09] それもお母さんが悪いんですよ。昼間寝かせておくんですようるさいんだからって。

[00:14:09 - 00:14:14] 子供は昼間寝て、夜は赤ちゃんが起きるんですね。邪魔見ろと。

[00:14:15 - 00:14:20] だからそれはそれで、そこでお母さんたちがみんなに文句言っちゃうんですね。

[00:14:20 - 00:14:26] 旦那さんにも当たっちゃうんですね。一切溜まっているんだと。

[00:14:27 - 00:14:29] 本当は溜まるはずがないんですよ。

[00:14:30 - 00:14:38] 我々の心に十分資格というか才能というか、そんなものはないんだからなんです。

[00:14:39 - 00:14:45] いつでも皆様方、どこかでえらい心配事があるんですよ。

[00:14:45 - 00:14:54] 例えば美しい女性がいても、どこかでもうちょっと、あるいは自分が本当に美しいかと。

[00:14:54 - 00:14:57] どこかで不満があるんですね。

[00:14:57 - 00:15:05] そのどこかに不満があるんだから、そういう不満を解消するためにいろんなことをする。

[00:15:05 - 00:15:11] いろんなやるべきなするし、お化粧もするし、いろいろおしゃれもするし、いろんなことをする。

[00:15:11 - 00:15:15] それはするほどその不満が大きくなっちゃうんです。

[00:15:16 - 00:15:22] もっと美しくなりたいと頑張れば頑張るほど、皆様方忘れていることは、

[00:15:22 - 00:15:30] 自分が自分の心に、私はそれほど嫌いじゃないんだと、無意識の心に暗示させてるんですよ。

[00:15:31 - 00:15:37] お化粧すればするほど、それで早く見にくくなってしまっちゃうんです。

[00:15:38 - 00:15:41] それはもったいないんですね。

[00:15:41 - 00:15:46] そういう心の働きが皆様持っているんです。男性もそうなんですよ。

[00:15:46 - 00:15:49] どこかで自信がないんですね。

[00:15:49 - 00:15:58] 例えば子供の時勉強する。勉強したっても、自分では勉強できるという自信がないんです。

[00:15:59 - 00:16:03] その自信がないんだからさらに勉強する。塾に行く。

[00:16:03 - 00:16:07] 塾に行くと頭が良くなるかというと良くならないんです。

[00:16:07 - 00:16:10] ただ丸暗記するだけ。

[00:16:10 - 00:16:18] 同じ内容は、10回、100回、200回、300回も先生たちから聞いて、聞いて、聞いて、

[00:16:18 - 00:16:22] もう嫌になるほど聞いて、頭に叩き込んじゃうんですね。

[00:16:22 - 00:16:26] それは知識ではなくて、無知なんですよ。

[00:16:26 - 00:16:30] 知識っていうのは、自分で物事を理解することなんです。

[00:16:30 - 00:16:39] そこでずっと不満な人が塾に行くと、塾に行くたびに、私には勉強する才能がないんだと。

[00:16:39 - 00:16:41] だから塾に行くんだと。

[00:16:41 - 00:16:47] だから遊ぶ時間でも勉強してるんだという、自己暗示をかけているんですよ。

[00:16:47 - 00:16:56] だからみんな病気になるのは当たり前ではなくて、病気にならなかったら不思議でしょうがないんですよ。

[00:16:56 - 00:17:00] だから僕が言いたいのは逆なんですね。

[00:17:00 - 00:17:04] 日本の皆様方、不思議によく元気ですねと。

[00:17:04 - 00:17:08] 本当はみんな病気に倒れているはずなのにと。

[00:17:08 - 00:17:14] それぐらい、もう子供の時から我々は一切のプロなんですね。

[00:17:14 - 00:17:21] 日本で一切解消する方法ではなくて、どうすればよく一切溜まるかと。

[00:17:21 - 00:17:26] そればっかしみんな研究しててよくやっているんです。

[00:17:26 - 00:17:29] それで病気になっているのは当たり前なんです。

[00:17:29 - 00:17:37] いくら仕事をしたっても、経済状態不安定にあるのは当たり前なんですよ。

[00:17:37 - 00:17:41] 例えば本屋さんには、僕はよく行くのは本屋さんなんですけど、

[00:17:41 - 00:17:48] 本屋さんにある本の数々見ると、もう嫌になるんですよ。

[00:17:48 - 00:17:54] どれほどこの人間が落ち着きがないんですかと。

[00:17:54 - 00:17:58] ちょっとしたことにも専門冊子が出てるんですよ。

[00:17:58 - 00:18:03] 例えばコンピューターゲームでも、遊び方また専門冊子が出てるんですよ。

[00:18:04 - 00:18:08] それでコンピューターの種類によってまた冊子が一体出ていて、

[00:18:08 - 00:18:11] ゲームによって冊子が出ていて、

[00:18:11 - 00:18:17] それから料理にしてたら、もう冊子はもう百冊以上あるんですね。

[00:18:17 - 00:18:22] それで何だかんでも専門冊子いっぱい。

[00:18:22 - 00:18:29] それは知識的に豊かっていうことで、我々自分たちをごまかしてるんだけど、

[00:18:29 - 00:18:34] 僕から見れば落ち着いてない連中だなと。

[00:18:34 - 00:18:38] ゲームだったら自分勝手に発見しながら遊べばいいのに、

[00:18:38 - 00:18:44] なんで冊子見てゲームの遊び方勉強すると、そうするとゲームにならないんだから。

[00:18:44 - 00:18:49] 料理でも自分で研究しながら、自分で間違いながらも、

[00:18:49 - 00:18:52] いろいろやって新しいものを発見すればいいんだから、

[00:18:52 - 00:18:56] 旦那さんも子供さんもいるんだから実験台通して、

[00:18:56 - 00:19:00] お母さん怖いんだから作るものは全部文句言わずに食べるし、

[00:19:00 - 00:19:04] ですから実験すればいいのに、もう一生懸命冊子をあげて、

[00:19:04 - 00:19:07] もう一生懸命勉強して作るんです。

[00:19:07 - 00:19:11] それですごく一瞬冷めてしまっちゃうんです。

[00:19:11 - 00:19:19] なぜならば成功とそうでないという判断があるんだからね。

[00:19:19 - 00:19:25] 本能通り出来上がったら大成功と、そうではなかったら失敗せましたと。

[00:19:25 - 00:19:29] そういう、なんで心を痛めるんですかね。

[00:19:29 - 00:19:33] 例えば自分勝手な料理を作ったところで、

[00:19:33 - 00:19:36] それ成功でもないし失敗でもないんだから、

[00:19:36 - 00:19:40] こういう風に料理しましたから、こういう風に出来上がったと。

[00:19:40 - 00:19:44] 食べられるものならば食べてくださいと。

[00:19:44 - 00:19:48] それで勉強してたら、これは食べられないのはこういう訳だしよと。

[00:19:48 - 00:19:51] 次回はそれ直せばいいんだから。

[00:19:51 - 00:19:54] ものすごくリラックスして生きていられるのに、

[00:19:54 - 00:19:59] 我々はもう育てから死ぬまで。

[00:20:00 - 00:20:06] いかに一日で済まるかと、ただそれだけ考えてきているんですね。

[00:20:06 - 00:20:12] それで当然ながら病気になると、また文句を言ってくるんですよ。

[00:20:12 - 00:20:17] そこで悪い、怪しい商売をしている人々がいるんです。

[00:20:17 - 00:20:23] どこでもお金が入る方があったら、すぐそこに人が商売するんだから。

[00:20:23 - 00:20:30] そこで病気を治す商売はかなり盛んなんです。

[00:20:30 - 00:20:38] 気候法で病気を治すとか、あるいは運動量病気を治すとか、

[00:20:38 - 00:20:44] いろいろありますね。視線職ですか、そういう方法で病気を治してくれるとか、

[00:20:44 - 00:20:49] 瞑想方法から病気を治してあげるとか、人走力で病気を治してあげるとか、

[00:20:49 - 00:20:54] 霊の力で病気を治してあげるとかね。

[00:20:54 - 00:20:58] 僕は一人で考えているんだけど、そんなに病気を治してあげるんだから、

[00:20:58 - 00:21:03] ならば一人も病人がいないはずなんですけど、何でいるんですかと。

[00:21:03 - 00:21:09] 結局向こう商売してるだけなんですよ。こっちは儲かるもんですよ。

[00:21:09 - 00:21:13] 日本では絶対一斉措は止まりません。

[00:21:13 - 00:21:16] 赤ちゃんでも一斉措がくそくってしまっちゃう。

[00:21:16 - 00:21:19] それから死ぬまで一斉措溜まっているんですよ。

[00:21:19 - 00:21:22] それで病気になるのは当たり前なんですね。

[00:21:22 - 00:21:30] ですからこの病気治すヒーリングの方々は限りなく儲かっちゃうんですよ。

[00:21:30 - 00:21:38] 僕から言えば限りなく儲かる権利があるのは食料品を作る人々だけなんです。

[00:21:38 - 00:21:42] 次に服とか作る人々なんですよ。

[00:21:42 - 00:21:44] なぜかというと毎日食べなくちゃいけない。

[00:21:44 - 00:21:48] 死ぬまで食べなくちゃいけない。それには終わりがないんです。

[00:21:48 - 00:21:54] ですから農業関係の人々は儲かってもそれは損がないんです。

[00:21:54 - 00:21:56] 毎日食べてるんだから。

[00:21:56 - 00:22:01] 服とかそういうものを作る人々も儲かってもしょうがないんです。

[00:22:01 - 00:22:06] 結構儲かっているのはそちらの方ですけど、かわいそうに農業の人々はそれほど儲かってないんです。

[00:22:06 - 00:22:11] それはすごく良くないんだけどね。

[00:22:11 - 00:22:17] おかしいんですね。金持ちでなるべき農業の方々は金持ちでならない。

[00:22:17 - 00:22:23] 金持ちでならなくたってもいい、こういう色々デザイン関係の人々は偉い金持ちなんです。

[00:22:23 - 00:22:29] それはそれで皆様のことだから。

[00:22:29 - 00:22:36] その人々は3番目にお医者さんなんですね。

[00:22:36 - 00:22:42] なぜならば一度でも病気になるわけじゃないんだけど、たまに人間は病気になる。

[00:22:42 - 00:22:45] その時はお医者さんのお世話になる。

[00:22:45 - 00:22:48] 死ぬ時までも病気になる可能性がある。

[00:22:48 - 00:23:02] ですから農業の関係と服装の関係と病院の関係、その3人が儲かってもいいんです。

[00:23:02 - 00:23:09] このヒーリングとかそういうことを知っている人々はよく知っているんですよ。

[00:23:10 - 00:23:19] いくら自分が力を入れたっても、いくら自分が人造力やら超能力やら神の力やらこういう媒体として治したっても、

[00:23:19 - 00:23:27] 明日また病気になりますと、明日また私が儲かりますと、ということを知っているんです。

[00:23:27 - 00:23:36] ですから私が言いたいのは、そうではなくて、一遍に自分の心の問題を治してください。

[00:23:36 - 00:23:40] 私は儲かりません。だからどうしたっても。

[00:23:40 - 00:23:47] ですからまあ、一遍に皆様の心を治す方法を教えてあげたいんです。

[00:23:47 - 00:23:54] 心を治してしまえば、体はきれいに治っていくんです。

[00:23:54 - 00:24:02] そこで、まあちょっとテーマがおかしくなりましたけど、

[00:24:02 - 00:24:07] なんで心病気かと言うと、いろいろことで病気なんですね。

[00:24:07 - 00:24:15] 一番わかりやすいのは、このステスの病気なんです。

[00:24:15 - 00:24:28] 母はステス溜まっているし、父はステス溜まっているし、それで赤ちゃんにもステスかかるようにしてあげる。

[00:24:28 - 00:24:36] ですからできれば自分たちが赤ちゃんをいる方々はいらっしゃらないようなんですけど、

[00:24:36 - 00:24:46] 我々は赤ちゃんの時もやっぱり落ち着くことを教えてあげなくちゃいけないんですよ。

[00:24:46 - 00:24:58] いろんな道具を使って赤ちゃんが泣くときは、いろんな道具を使ったり、おもちゃを使ったり、いろんな音を使ったりして落ち着かせちゃうんですね。

[00:24:58 - 00:25:02] あれもできるだけやめたほうがいいんです。

[00:25:02 - 00:25:11] 赤ちゃんの機嫌がいいときはおもちゃをあげたり、いろいろ面白いものを見せたりして遊んでいいんだけど、

