[00:00:30 - 00:00:36] 槁 競馬
[00:00:52 - 00:00:54] いろんなことを
[00:09:17 - 00:09:21] 例えば70歳になったおばあちゃんであればすごく可愛くて
[00:09:21 - 00:09:26] もう若々しくいるならばものすごい精神的にストレス何もなく
[00:09:26 - 00:09:31] まあ元気で健康的でいるということなんですね
[00:09:31 - 00:09:39] ですからもし病気になりたくなければ健康な心すくることなんです
[00:09:39 - 00:09:44] それで大阪様は健康な心すくる方法を教えているんです
[00:09:44 - 00:09:49] しっかりしたどんなものにも怖がらない
[00:09:49 - 00:09:57] どんなものに対しても不満が出てこないしっかりした心すくる方法を教えてくれるんです
[00:09:57 - 00:10:01] それ実践すればもう病気なんか
[00:10:00 - 00:10:08] これは消えていくだろうと。なぜならば、心が体を作りますから。
[00:10:08 - 00:10:17] その心がしっかりしている心であるならば、体も適当に治っていくんです。
[00:10:17 - 00:10:26] ですから、私は申し上げたいのは、自分の病気なんかあるならば、そんなもの忘れてしまってください。
[00:10:26 - 00:10:29] そんなことはどうでもいいんですよ。
[00:10:29 - 00:10:41] 足が痛い、お腹が痛い、腎臓が良くない、腎臓が良くないとかね、慢性的な肝炎とか何とかとかね、そんなものはどうでもいいんですよ、ベストに。
[00:10:41 - 00:10:46] 一体この体は何ですかと。
[00:10:46 - 00:10:52] それで、体ってのは宿りのように、一時的に使っているだけなんですね。
[00:10:52 - 00:10:57] 一時的に使うために、心が作ったものなんですよ。
[00:10:57 - 00:11:10] ですから、分かりやすく言えば、もし、例えば血液関係の何か障害があるんだと、それはその本人が勝手に病気になっているだけなんです。
[00:11:10 - 00:11:13] こちらに文句を言ったって何の意味もないんですよ。
[00:11:13 - 00:11:23] お医者さんに文句を言ったっても、環境に文句を言ったっても、食べ物に文句を言ったっても、自分が勝手に病気になっているだけなんです。
[00:11:23 - 00:11:31] ですから、それで病気になると、みんな体に文句を言うんですね。
[00:11:31 - 00:11:41] 何とか悪いとかね、あるいは両親に文句を言ったりするし、仕事に文句を言ったりするし、それは誰のせいでもないんです。
[00:11:41 - 00:11:51] 仕事で、すごい仕事は忙しくて、大変きつい仕事でストレス溜まって、体が壊せましたと。
[00:11:51 - 00:11:57] 言ったら、会社にも仕事にも文句を言うよりは、私は文句を本人に言いたいんですね。
[00:11:57 - 00:12:02] あんたは才能もないのによくも仕事をしているんですね。それで仕事をやめなさいと。
[00:12:02 - 00:12:07] そんなにストレス溜まるんだったら、あなたにはその仕事はできないんだと。
[00:12:07 - 00:12:13] よく仕事ができるんだったら、ものすごい簡単に遊ぶみたいな感じで仕事をするんですよ。
[00:12:13 - 00:12:21] 髪の毛白毛になったり、もう剥げちゃうし、男は大体剥げちゃいますから、まあそれはしょうがないんだけど、それはもうホルモンのせいで。
[00:12:21 - 00:12:30] それより早くね、剥げちゃうし、歳とっちゃうし、おじいちゃんになってしまっちゃうし、それはもうすごい厳しい仕事をしているんだからといって。
[00:12:30 - 00:12:33] そのところから、その一切は家まで持っていくんですね。
[00:12:33 - 00:12:40] お子さんに文句言うんですね。私はもう仕事をしているって言ってくるんだから、もう育れているんですよとか、なんとかとか。
[00:12:40 - 00:12:45] 子供の面倒なんか見る暇がないんですよとか。
[00:12:45 - 00:12:54] で、僕から見れば才能ない人だなと。なぜならば、男であるならば仕事をするのは当たり前であって、
[00:12:54 - 00:13:01] 家に帰ったらお子さんとちょっと仲良くして、子供たちとちょっと遊んで、子供たちなんかいろいろ悪いことでもしているならば、
[00:13:01 - 00:13:07] それは正しく指導して教えて、するのはやっぱり男の仕事なんですね。
[00:13:07 - 00:13:12] 男の仕事の半分やらない。仕事だけやるというのも半分男なんですね。
[00:13:12 - 00:13:18] いくら会社で偉そうな仕事をしていたっても、それよりも才能ある人にはならないんですね。
[00:13:18 - 00:13:21] 才能ある人は全部まとめてちゃんとやるんです。
[00:13:21 - 00:13:25] と同時に何もストレスは溜まっていないんです。
[00:13:25 - 00:13:28] すごい健康的なんです。
[00:13:28 - 00:13:32] お子さんについては同じことなんですよ。
[00:13:32 - 00:13:37] 子育てに覆われて、もう体が壊せましたと言うと、
[00:13:37 - 00:13:43] 私はあんまりはっきりと女性だから言わないんだけど、もう全然才能がない。
[00:13:43 - 00:13:47] 子育てには全く才能がないということなんですね。
[00:13:47 - 00:13:51] 母になる資格はないんだと。
[00:13:51 - 00:13:58] 母になったら、子供育てに病気になったら、そんなものはもう認めることにはいけませんよ。
[00:13:58 - 00:14:05] 例えば大体赤ちゃんの男は夜は寝られない。赤ちゃんというのはすごく夜を起きますから。
[00:14:05 - 00:14:09] それもお母さんが悪いんですよ。昼間寝かせておくんですよ。うるさいんだからと言って。
[00:14:09 - 00:14:15] 子供は昼間寝て、夜は起きるんですね。邪魔見ろと。
[00:14:16 - 00:14:21] だからそれはそれで、そこでお母さんたちがみんなに文句言っちゃうんですね。
[00:14:21 - 00:14:27] 旦那さんにも当たっちゃうんですね。一節溜まっているんだと。
[00:14:27 - 00:14:30] 本当は溜まるはずがないんですよ。
[00:14:30 - 00:14:39] 我々の心に十分資格というか才能というか、そんなものはないんだからなんです。
[00:14:39 - 00:14:45] いっそでも皆様方、どこかで偉い心配事があるんですよ。
[00:14:45 - 00:14:54] 例えば美しい女性がいても、どこかでもうちょっと、あるいは自分が本当に美しいかと。
[00:14:54 - 00:14:57] どこかで不満があるんですね。
[00:14:57 - 00:15:05] そのどこかに不満があるんだから、そういう不満を解消するためにいろんなことをする。
[00:15:06 - 00:15:11] エアロンブックスもするし、お化粧もするし、いろいろオシャレもするし、いろんなことをする。
[00:15:11 - 00:15:16] それをすればするほど、その不満が大きくなっちゃうんです。
[00:15:16 - 00:15:22] もっと美しくなりたいと頑張れば頑張るほど、皆様方忘れていることは、
[00:15:22 - 00:15:31] 自分が自分の心に、私はそれほど綺麗じゃないんだと、無意識の心に暗示させているんですよ。
[00:15:31 - 00:15:38] お化粧すればするほど、それで早く醜くなってしまっちゃうんです。
[00:15:38 - 00:15:41] それはもったいないんですね。
[00:15:41 - 00:15:46] そういう心の働きが皆様持っているんです。男性もそうなんですよ。
[00:15:46 - 00:15:50] どこかで自信がないんですね。
[00:15:50 - 00:15:53] 例えば子供のとき勉強する。
[00:15:53 - 00:16:00] 勉強したっても、自分には勉強できるという自信がないんです。
[00:16:00 - 00:16:04] 自信がないんだから、さらに勉強する。塾に行く。
[00:16:04 - 00:16:08] 塾に行くと頭が良くなるかというと、良くならないんです。
[00:16:08 - 00:16:11] ただ丸暗記するだけ。
[00:16:11 - 00:16:19] 同じ内容は、10回、100回、200回、300回も先生たちから聞いて、聞いて、聞いて、
[00:16:19 - 00:16:23] もう嫌になるほど聞いて、頭に叩き込んじゃうんですね。
[00:16:23 - 00:16:27] それは知識ではなくて、無知なんですよ。
[00:16:27 - 00:16:31] 知識っていうのは、自分でものことを理解することなんです。
[00:16:31 - 00:16:37] そこでずっと不満な人が塾に行くと、塾に行くたびに、
[00:16:37 - 00:16:42] 私には勉強する才能がないんだと、だから塾に行くんだと、
[00:16:42 - 00:16:48] だから遊ぶ時間でも勉強しているんだという、塾を暗示かけているんですよ。
[00:16:48 - 00:16:52] だから皆病気になるのは当たり前ではなくて、
[00:16:52 - 00:16:57] 病気にならなかったら不思議でしょうがないんですよ。
[00:16:57 - 00:17:00] だから僕が言いたいのは逆なんですね。
[00:17:00 - 00:17:04] 日本の皆様方、不思議によく元気ですねと。
[00:17:04 - 00:17:08] 本当は皆病気に倒れているはずなのにと。
[00:17:08 - 00:17:14] それぐらい、子供の時から我々はストレスのプロなんですね。
[00:17:14 - 00:17:21] 日本でストレス解消する方法ではなくて、どうすればよくストレスたまるかと。
[00:17:21 - 00:17:26] そればっかり皆研究してよくやっているんです。
[00:17:26 - 00:17:29] それで病気になっているのは当たり前なんですよ。
[00:17:29 - 00:17:37] いくら仕事をしたっても、経済状態不安定にあるのは当たり前なんですよ。
[00:17:37 - 00:17:41] 例えば本屋さんには、僕はよく行くのは本屋さんなんですけど、
[00:17:41 - 00:17:48] 本屋さんにある本のカスカスを見ると、もう嫌になるんですよ。
[00:17:48 - 00:17:54] どれほどこの人間が落ち着きがないんですかと。
[00:17:54 - 00:17:58] ちょっとしたことにも専門写真が出ているんですよ。
[00:17:58 - 00:18:03] 例えばコンピューターゲームでも、遊び方はまた専門写真が出ているんですよ。
[00:18:03 - 00:18:08] それでコンピューターの種類によってまた写真が一体出ていて、
[00:18:08 - 00:18:11] ゲームによって写真が出ていて、
[00:18:11 - 00:18:17] それから料理にしたら写真はもう100冊以上あるんですね。
[00:18:17 - 00:18:22] それで何だかんでも専門写真がいっぱい。
[00:18:22 - 00:18:29] それは知識的に豊かということで、我々自分たちはごまかしているんだけど、
[00:18:29 - 00:18:34] 僕から見れば落ち着いていない連中だなと。
[00:18:34 - 00:18:38] ゲームだったら自分勝手に発見しながら遊べばいいのに。
[00:18:38 - 00:18:43] なんで写真を見てゲームの遊び方を勉強すると、そうするとゲームにならないんだから。
[00:18:43 - 00:18:48] 料理でも自分で研究しながら、自分で間違いながらも、
[00:18:48 - 00:18:52] いろいろやって新しいものを発見すればいいんだから、
[00:18:52 - 00:18:55] 旦那さんも子供さんもいるんだから実験台を通して、
[00:18:55 - 00:18:59] お母さん怖いんだから作るものは全部文句言わずに食べるし、
[00:18:59 - 00:19:02] 実験すればいいのに、
[00:19:02 - 00:19:06] もう一生懸命写真をあげてもう一生勉強して作るんです。
[00:19:06 - 00:19:10] それですごくストレス溜まってしまっちゃうんです。
[00:19:11 - 00:19:18] なぜならば、成功とそうでないという判断があるんだからね。
[00:19:18 - 00:19:22] 本能通りに出来上がったら大成功と。
[00:19:22 - 00:19:25] そうではなかったら失敗しましたと。
[00:19:25 - 00:19:29] そういう、なんで心痛めるんですかね。
[00:19:29 - 00:19:33] 例えば自分勝手な料理を作ったところで、
[00:19:33 - 00:19:36] それ成功でもないし失敗でもないんだから。
[00:19:36 - 00:19:39] こういう風に料理しましたからこういう風に出来上がったと。
[00:19:39 - 00:19:42] 食べられるものならば食べてくださいと。
[00:19:44 - 00:19:45] それで勉強してた。
[00:19:45 - 00:19:48] これは食べられないのはこういう訳だしようと。
[00:19:48 - 00:19:51] 次回はそれ直せばいいんだから。
[00:19:51 - 00:19:54] ものすごくリラックスして生きていられるのに、
[00:19:54 - 00:19:59] 我々はもう子育てから死ぬまで、
[00:20:00 - 00:20:06] いかにストレスたまるかと、ただそれだけ考えてきてるんですね。
[00:20:06 - 00:20:12] それで当然ながら病気になると、また文句言ってくるんですよ。
[00:20:12 - 00:20:17] そこで悪い、怪しい商売している人々がいるんです。
[00:20:17 - 00:20:23] まあどこでも、お金が入る方法あったら、すぐそこに人が商売するんだから。
[00:20:23 - 00:20:29] そこで病気を治す商売は、もうかなり盛んなんです。
[00:20:30 - 00:20:36] 気候法で病気を治すとか、あるいは運動量病気を治すとか、
[00:20:36 - 00:20:39] まあ、いろいろありますね。
[00:20:39 - 00:20:44] 思想職ですか、そういう方法で病気を治してくれるとか、
[00:20:44 - 00:20:47] 瞑想方法から病気を治してあげるとか、
[00:20:47 - 00:20:49] 人数理解で病気を治してあげるとか、
[00:20:49 - 00:20:54] 例のチェキラリで病気を治してあげるとかね。
[00:20:54 - 00:20:58] 僕はもう一人で考えてるんだけど、そんなに病気を治してあげるんだから、
[00:20:58 - 00:21:03] ならば一人も病人がいないはずなんですけど、なんでいるんですかと。
[00:21:03 - 00:21:06] 結局僕は商売してるだけなんですよ。
[00:21:06 - 00:21:09] こっちはもう儲かるもんですよ。
[00:21:09 - 00:21:13] 日本では絶対ストレスは止まりません。
[00:21:13 - 00:21:16] 赤ちゃんにもストレスかくそくってしまっちゃう。
[00:21:16 - 00:21:19] それから死ぬまでストレスたまってるんです。
[00:21:19 - 00:21:22] それで病気になるのは当たり前なんですね。
[00:21:22 - 00:21:27] ですからこの病気治す、シーリングの方々は、
[00:21:27 - 00:21:30] もう限りなく儲かっちゃうんですよ。
[00:21:30 - 00:21:34] で、僕から言えば限りなく儲かる権利あるのは、
[00:21:34 - 00:21:38] 食料品作る人々だけなんです。
[00:21:38 - 00:21:42] 次に、まあ、福祉が作る人々なんですよ。
[00:21:42 - 00:21:44] なぜかというと毎日食べなくちゃいけない。
[00:21:44 - 00:21:48] 死ぬまで食べなくちゃいけない。それには終わりがないんです。
[00:21:48 - 00:21:50] ですから農業関係の人々は、
[00:21:50 - 00:21:53] 儲かってもそれは住みがないんです。
[00:21:53 - 00:21:56] 毎日食べてるんだから。
[00:21:56 - 00:21:59] で、福とかそういうものを作る人々も、
[00:21:59 - 00:22:01] まあ、儲かってもしょうがないんです。
[00:22:01 - 00:22:03] まあ、結構儲かってるのはそちらの方ですけど、
[00:22:03 - 00:22:06] かわいそうに農業の人々はそれほど儲かってないんです。
[00:22:06 - 00:22:11] それすごく、まあ、良くないんだけどね。
[00:22:11 - 00:22:14] で、おかしいんですね。金持ちになるべき。
[00:22:14 - 00:22:17] 農業の方々は金持ちにならない。
[00:22:17 - 00:22:19] 金持ちにならなくたってもいい、
[00:22:19 - 00:22:22] こういういろいろリサイン関係の人々は、
[00:22:22 - 00:22:23] 偉い金持ちなんです。
[00:22:23 - 00:22:27] まあ、それはそれで、皆様のことだから。
[00:22:27 - 00:22:36] で、その人々、3番目にお医者さんなんですね。
[00:22:36 - 00:22:40] なぜならば、いつでも病気になるわけじゃないんだけど、
[00:22:40 - 00:22:42] たまに人間は病気になる。
[00:22:42 - 00:22:45] その時はお医者さんのお世話になる。
[00:22:45 - 00:22:48] 死ぬ時までも病気になる可能性がある。
[00:22:48 - 00:22:56] ですから、農業の関係と服装の関係と病院の関係、
[00:22:56 - 00:23:02] その3人が、まあ、儲かってもいいんです。
[00:23:02 - 00:23:07] で、このいいねんとか、そういうことを知っている人々は、
[00:23:07 - 00:23:10] よく知ってるんですよ。
[00:23:10 - 00:23:12] いくら自分が力を入れたっても、
[00:23:12 - 00:23:16] いくら自分が人数力やら、超能力やら、神の力やら、
[00:23:16 - 00:23:19] こういう媒体として治したっても、
[00:23:19 - 00:23:21] まあ、明日また病気になりますと、
[00:23:21 - 00:23:25] 明日また私が儲かりますと、
[00:23:25 - 00:23:27] ということを知ってるんです。
[00:23:27 - 00:23:30] ですから、私が言いたいのは、
[00:23:30 - 00:23:32] そうではなくて、
[00:23:32 - 00:23:36] 一遍に自分の心の問題を治してください。
[00:23:36 - 00:23:40] 私は儲かりませんだから、どうしたっても。
[00:23:40 - 00:23:41] ですから、まあ、
[00:23:41 - 00:23:47] 一遍に皆様の心を治す方法を教えてあげたいんです。
[00:23:47 - 00:23:49] 心を治してしまえば、
[00:23:49 - 00:23:54] 体はきれいに治っていくんです。
[00:23:54 - 00:23:59] そこで、まあ、ちょっとテーマがおかしくなりましたけど、
[00:23:59 - 00:24:04] この、なんで心病気かと言うと、
[00:24:04 - 00:24:07] いろいろことで病気なんですね。
[00:24:07 - 00:24:15] 一番わかりやすいのは、このストレスの病気なんです。
[00:24:15 - 00:24:18] で、母はストレス溜まってるし、
[00:24:18 - 00:24:20] 父はストレス溜まってるし、
[00:24:20 - 00:24:28] それで赤ちゃんにもストレスかかるようにしてあげる。
[00:24:28 - 00:24:31] ですから、できれば自分たちが、
[00:24:31 - 00:24:36] まあ、今赤ちゃんいる方々いらっしゃらないようなんですけど、
[00:24:36 - 00:24:46] 我々は赤ちゃんの時もやっぱり落ち着くことを教えてあげなくちゃいけないんですよ。
[00:24:46 - 00:24:50] で、いろんな道具を使って赤ちゃんが泣く時はね、
[00:24:50 - 00:24:53] いろんな道具を使ったり、おもちゃを使ったり、
[00:24:53 - 00:24:58] いろんな音を使ったりして落ち着かしちゃうんですね。
[00:24:58 - 00:25:02] あれもまあ、できるだけやめたほうがいいんです。
[00:25:02 - 00:25:04] 赤ちゃんの機嫌がいい時、
[00:25:04 - 00:25:08] おもちゃをあげたり、いろいろ面白いものを見せたりしたって見せて、
[00:25:08 - 00:25:11] 遊んでいいんだけど、
[00:25:11 - 00:25:14] で、かえって我々は赤ちゃんが泣いたり、
[00:25:14 - 00:25:18] 神経質になったりするのはやめるために、
[00:25:18 - 00:25:20] 道具を使っちゃうんですね。
[00:25:20 - 00:25:23] そこから間違ってるんです。
[00:25:23 - 00:25:26] 例えば赤ちゃんがね、お腹いっぱいミルクを飲んで、
[00:25:26 - 00:25:29] まあニコニコ笑って遊んでると、
[00:25:29 - 00:25:34] その時はいろんな道具を見せたり、いろんなことをあげたりして、
[00:25:34 - 00:25:35] 遊んだほうがいいんです。
[00:25:35 - 00:25:39] 遊んでる時だから。
[00:25:39 - 00:25:43] それから赤ちゃんがなんとなくちょっとストレス溜まって泣いたりすると、
[00:25:43 - 00:25:47] そんな道具とか全部置いておいて、
[00:25:47 - 00:25:53] やっぱり心を落ち着くことをしてあげたほうがいいんですね。
[00:25:53 - 00:25:55] 小さな赤ちゃんだったらね、
[00:25:55 - 00:26:00] まあお母さん抱っこすることを一番いいんですけどね。
[00:26:00 - 00:26:03] で、胸に抱っこしてあげたりとか、
[00:26:04 - 00:26:08] まあそうするとどんどん落ち着く。
[00:26:08 - 00:26:10] あまり話しかけないほうがいいんですよ。
[00:26:10 - 00:26:11] 本人も落ち着いてないんだから、
[00:26:11 - 00:26:13] 別に話しかけたっても、
[00:26:13 - 00:26:16] あの、さらにもうストレス溜まっちゃいますからね。
[00:26:16 - 00:26:21] で、お母さんがこの子供の機嫌がいいときはいっぱい喋ったりして、
[00:26:21 - 00:26:24] 機嫌が悪いときはあまり喋らないで、
[00:26:24 - 00:26:29] もう無言で、ただエスキンシップだけで落ち着かせてあげると。
[00:26:29 - 00:26:31] そういうふうにしてあげると、
[00:26:31 - 00:26:37] 子供も小さい頃から一切溜まることはどんどんなくなるんです。
[00:26:37 - 00:26:40] で、3年ながら教育戦争でね、
[00:26:40 - 00:26:45] 幼稚園に行かずそこでまた一切溜まるし、
[00:26:45 - 00:26:47] 小学校でまた溜まっちゃうし、
[00:26:47 - 00:26:51] 中学校でずっとその一方なんですね。
[00:26:51 - 00:26:53] そこで仕事に入ったらさらに、
[00:26:53 - 00:26:55] 結婚すればまた、
[00:26:55 - 00:26:59] 子供が出たらまた、とかそういうふうに死ぬまで、
[00:26:59 - 00:27:03] 仕事終わったら、やることないんだからまたストレス溜まったりする。
[00:27:03 - 00:27:06] それ癖なんですね。
[00:27:06 - 00:27:08] 仕事終わるんだからすごいストレス溜まっているようで、
[00:27:08 - 00:27:10] じゃあ一休みあげましょうって言ったら、
[00:27:10 - 00:27:16] やることないな、退屈だなと思ってまたストレスなんですね。
[00:27:16 - 00:27:20] 皆様方、このじーっとしてボケーっとしていること分かりません。
[00:27:20 - 00:27:23] 分かり、できないんですね。
[00:27:23 - 00:27:28] ちょっと一休みすることできないんですね。
[00:27:28 - 00:27:31] もし30分あればどうしますか?
[00:27:31 - 00:27:33] もし私が30分あげたら、
[00:27:33 - 00:27:37] ものすごくイライラするでしょう。
[00:27:37 - 00:27:39] すごくイライラするんですね。
[00:27:39 - 00:27:44] ということはすごいストレスなんです。
[00:27:44 - 00:27:48] で、30分あったら本も読まないで、
[00:27:48 - 00:27:53] 寝ることもしないで、
[00:27:53 - 00:27:57] ただじーっと待っていることができれば、
[00:27:57 - 00:28:02] そのストレス全部消えちゃうんです。
[00:28:02 - 00:28:06] 何もしないで、考えることもいけない。
[00:28:06 - 00:28:10] でも寝ることもいけない。
[00:28:10 - 00:28:14] それちょっと難しいかもしれません。
[00:28:14 - 00:28:19] で、そういうふうに簡単なんですよ、心を癒すことは。
[00:28:19 - 00:28:24] 黙ってじーっとしていればもう心は治るんです。
[00:28:24 - 00:28:27] なんでそれができないかとは、
[00:28:27 - 00:28:31] それは私にはできますからしょうがないんだけど、
[00:28:31 - 00:28:40] 皆様にはなんでできないかと、皆様から聞かないと。
[00:28:40 - 00:28:46] じゃあ、ストレスたまらないように、
[00:28:46 - 00:28:53] どうすればいいんですか?
[00:28:53 - 00:28:56] そこが問題なんですね。
[00:28:56 - 00:29:03] それは自分のことを余計な判断しているでしょ。
[00:29:03 - 00:29:05] それを置いておいてください。
[00:29:05 - 00:29:08] 我々はあまりろこの人間じゃないんだと。
[00:29:08 - 00:29:10] そんな大したもんじゃないんだと。
[00:29:10 - 00:29:15] 大した美人でもないし、大した知識人でもないんですよ。
[00:29:15 - 00:29:20] そんな我々の大した仕事をできるわけでもないんですよ。
[00:29:20 - 00:29:27] だから適当に程々に頑張っているんだと。
