[00:00:30 - 00:10:08] 今日、テーマがいろんなことを、たくさんいろんなことをしゃべらなくちゃいけないんですから、何も前置きなしに、いきなり私のテーマに沿ってしゃべりたいと思っています。「心と病気の関係」というテーマでございますが、鈴木さんが大変優しい、簡単な話だと思っているようですけど、もし話になると、大変とんでもない難しい話になる可能性はあるんです。それを恐れていろいろ考えていましたけど、なかなか解決策を見つけられなかったんです。一応、私が思ったのは、何か病気の人々を集めて、病院みたいに治療みたいなものをしゃべるということではないんです。それよりは、この病気を治して健康な体を作る、この噂ですか、実相ですか、それを何か専門的に、プロに話してあげたかったんです。ということは、私の話を聞いて、自分で実践してみて、いくらか健康な体を作られればいい、という立場で話をしたいと思っていたんです。とにかく、よく聞いてください。何とかなるんじゃないかなと思います。特に日本で、アメリカとかそういう二つの国でも、また他の国でもその影響で、「宗教というのは何かヒーリング、ヒーリングというのは癒やすですか、そんな仕事をやっていることだ」と思っているんですね。僕らはものすごくそれをいやらしく感じるんですよ。「何とか宗教からいろいろ病気を治してくれたんだ。がんを治してくれたんだ」という、ものすごく、仏教の者はそれは「すごくいやらしい宗教だな」と思うようなものなんですね。何とかして人の病気を治したということは。ですから、それをまず覚えていてください。何とか何とかして、何とかお祈りして、何とか処分をして、その人の病気を治しましたと。そういうのは、それほど高次元的なものではないんです。なぜならば、そんなに病気を治した形跡はどこにもないんですよ。宗教であろうが、どんな何か神秘的な手柄であろうが、もしそういう神秘的な、すごい巨大な力があって人の病気を治したならば、世の中にはもう病気は全部消えているはずなんですね。ですから、宗教が一生懸命病気を治すし、でもそれを信じている人々は一生懸命病気になったりするし、キリがないんです。ですから、その方法は我々には断っているので、お釈迦様は禁じられているんです。「人の病気を治すとか、そういう行動はやめなさい」と。お釈迦様の言葉から言うならば、それは邪な生き方なんです。ですから、僕はすごく心配しながら話さなくちゃいけないんです。もっとレベル高く、高度なレベルで、この心・体・病気、そういうものはどういうものかと理解していただければ、病気を治してもらうよりもっといいことになるかもしれません。じゃあ話に入りますけど、わからないかもしれません。だけどこれは聞いて覚えておいてください。我々の体というものは、心が優るんです。心というのは魂ではないんです。何かエネルギーなんです。精神的なエネルギーなんです。この精神的なエネルギーというものが、この肉体的な体を作っているんです。それで、皆様方よく聞いていらっしゃるんですね、占いしてるんですね。手相占い、人相占いとかね。それから、書いたものを見て占ったりするとか。そういうのはもう完全に嘘ではないんだけど、結構当たるんですよ。手相なんかインチキな人ではなくて、お金ではなくて趣味でやってる人から読んでもらったら、結構当たるんです。お金取って読む人は全部嘘を言っていますけど。そこで、人相占いであろうが、他の占いであろうが、いろんな人の顔を見て、歩き方を見て、しゃべり方を見て、声を聞いて、いろいろ占ってもらうと、結構当たるんではないかなと、そういう経験皆様にあると思います。でも当たらないのは、それは商売にしている時なんです。それで食べてると当たらないんです。本人の商売だから、何とかして人の機嫌を取ろうとしてるんですね。ですから、ものすごい嘘を言うんです。趣味で、冗談で、遊びでやってる人は、人が傷つこうが泣こうがそれに構わず、言いたいものを言っちゃいますから、本当のことを言っちゃうんです。それで私は言うのは、「何で手相を見て人の性格わかりますか？　何で人相を見て人の運命やらこれから何か悪いことになる、出会うならば、そんなこと何でわかりますか？」と。それわかるのは、その体が、私の心が作っているんだから、心の状態、性格、私の生き方、体にちゃんと映してるんです。ですから、そういうのは、いくらか当たるんです。だけど、仏教ではそんなものは信じるなと。手相やら人相やら、それから星占いとか、そんなものは全部ゴミ箱にポイ捨てしなさいと。「そんな何の意味もないんだ」と。僕も結構いろんな人に僕の手を読んでもらったことがあるんです。遊びでお金払ってないんです。そこでいろいろ言うんですけど、結局言ってること、私は知ってるんです。「あなたはこういうこういうではないか、こういうこういうではないか」と。「まあそうでしょう」と。私が知ってます。そんなことは自分知ってることは、人に聞いてもらったって別に何が面白いかわからないんです。で、私はチャレンジするのは、「じゃあできれば私が知らないことを言ってください」。それは言えないんですね。手相見ても、人相見たっても。ですから、この体は心が作るものだから、我々の顔を見たら、大体わかるんですよ、どんな人間かと。で、皆様もそうでしょうね。ちょっとすごい仕事でストレス溜まっちゃうと、まあ胃やら腸やら全部もうダメになっちゃうし、もう髪の毛はすごく早く白くなってしまっちゃうし、すごく年取ってしまっちゃうし。ですから、この、例えば二十歳なのに三十代ぐらいの顔を持っていると、当然わかりますね。「この人はえらい心で悩んでるんだ」と。いろんな問題でもう悩んでるっていうこと、よくわかるんですね。例えば七十歳になったおばあちゃんであれば、すごく可愛くて、もう若々しくいるならば、ものすごい精神的にストレス何もなく、まあ元気で健康的でいるということなんですね。ですから、もし病気になりたくなければ、健康な心を作ることなんです。それで、お釈迦様は健康な心を作る方法を教えているんです。しっかりした、どんなものにも怖がらない、どんなものに対しても不満が出てこない、しっかりした心を作る方法を教えてくれるんです。それ実践すれば、もう病気なんかこれは消えていくだろうと。なぜならば、心が体を作りますから。

[00:10:08 - 00:10:17] その心がしっかりしている心であるならば、体も適当に治っていくんです。
[00:15:16 - 00:15:31] もっと美しくなりたいと頑張れば頑張るほど、皆様方忘れていることは、自分が自分の心に「私はそれほどきれいじゃないんだ」と、無意識の心に暗示させているんですよ。

[00:15:31 - 00:15:38] お化粧すればするほど、それで早く醜くなってしまっちゃうんです。

[00:15:38 - 00:15:41] それはもったいないんですね。

[00:15:41 - 00:15:46] そういう心の働きが皆様、持っているんです。男性もそうなんですよ。

[00:15:46 - 00:15:50] どこかで自信がないんですね。

[00:15:50 - 00:15:53] 例えば子供のとき勉強する。

[00:15:53 - 00:16:00] 勉強したっても、自分には勉強できるという自信がないんです。

[00:16:00 - 00:16:04] 自信がないんだから、さらに勉強する。塾に行く。

[00:16:04 - 00:16:08] 塾に行くと頭が良くなるかというと、良くならないんです。

[00:16:08 - 00:16:11] ただ丸暗記するだけ。

[00:16:11 - 00:16:23] 同じ内容は、10回、100回、200回、300回も先生たちから聞いて、聞いて、聞いて、もう嫌になるほど聞いて、頭に叩き込んじゃうんですね。

[00:16:23 - 00:16:27] それは知識ではなくて、無知なんですよ。

[00:16:27 - 00:16:31] 知識っていうのは、自分でものごとを理解することなんです。

[00:16:31 - 00:16:48] そこでずっと不満な人が塾に行くと、塾に行くたびに、私は勉強する才能がないんだと、だから塾に行くんだと、だから遊ぶ時間でも勉強しているんだという、自己暗示かけているんですよ。

[00:16:48 - 00:16:57] だから皆、病気になるのは当たり前ではなくて、病気にならなかったら不思議でしょうがないんですよ。

[00:16:57 - 00:17:00] だから僕が言いたいのは逆なんですね。

[00:17:00 - 00:17:04] 日本の皆様方、不思議によく元気ですねと。

[00:17:04 - 00:17:08] 本当は皆、病気に倒れているはずなのにと。

[00:17:08 - 00:17:14] それぐらい、子供の時から我々はストレスのプロなんですね。

[00:17:14 - 00:17:21] 日本でストレス解消する方法ではなくて、どうすればよくストレスたまるかと。

[00:17:21 - 00:17:26] そればっかり皆研究して、よくやっているんです。

[00:17:26 - 00:17:29] それで病気になっているのは当たり前なんですよ。

[00:17:29 - 00:17:37] いくら仕事をしたっても、経済状態不安定にあるのは当たり前なんですよ。

[00:17:37 - 00:17:48] 例えば本屋さんには、僕はよく行くのは本屋さんなんですけど、本屋さんにある本のカスカスを見ると、もう嫌になるんですよ。

[00:17:48 - 00:17:54] どれほどこの人間が落ち着きがないんですかと。

[00:17:54 - 00:17:58] ちょっとしたことにも専門冊子が出ているんですよ。

[00:17:58 - 00:18:03] 例えばコンピューターゲームでも、遊び方はまた専門冊子が出ているんですよ。

[00:18:03 - 00:18:17] それでコンピューターの種類によってまた冊子が一杯出ていて、ゲームによって冊子が出ていて、それから料理にしたら冊子はもう100冊以上あるんですね。

[00:18:17 - 00:18:22] それで何だかんでも専門冊子がいっぱい。

[00:18:22 - 00:18:34] それは知識的に豊かということで、我々自分たちはごまかしているんだけど、僕から見れば落ち着いていない連中だなと。

[00:18:34 - 00:18:38] ゲームだったら自分勝手に発見しながら遊べばいいのに。

[00:18:38 - 00:18:43] なんで冊子を見てゲームの遊び方を勉強すると、そうするとゲームにならないんだから。

[00:18:43 - 00:19:06] 料理でも自分で研究しながら、自分で間違いながらも、いろいろやって新しいものを発見すればいいんだから、旦那さんも子供さんもいるんだから実験台として、お母さん怖いんだから、作るものは全部文句言わずに食べるし、実験すればいいのに、もう一生懸命冊子をあげて、もう一生勉強して作るんです。

[00:19:06 - 00:19:10] それですごくストレス溜まってしまっちゃうんです。

[00:19:11 - 00:19:18] なぜならば、成功とそうでないという判断があるんだからね。

[00:19:18 - 00:19:22] 本の通りに出来上がったら大成功と。

[00:19:22 - 00:19:25] そうではなかったら失敗しましたと。

[00:19:25 - 00:19:29] そういう、なんで心痛めるんですかね。

[00:19:29 - 00:19:36] 例えば自分勝手な料理を作ったところで、それ成功でもないし失敗でもないんだから。

[00:19:36 - 00:19:39] こういうふうに料理しましたから、こういうふうに出来上がったと。

[00:19:39 - 00:19:42] 食べられるものならば食べてくださいと。

[00:19:44 - 00:19:45] それで勉強していて、

[00:19:45 - 00:19:48] これは食べられないのはこういうわけだしようと。

[00:19:48 - 00:19:51] 次回はそれ直せばいいんだから。

[00:19:51 - 00:20:06] ものすごくリラックスして生きていられるのに、我々はもう子育てから死ぬまで、いかにストレスたまるかと、ただそれだけ考えてきてるんですね。

[00:20:06 - 00:20:12] それで当然ながら病気になると、また文句言ってくるんですよ。

[00:20:12 - 00:20:17] そこで悪い、怪しい商売している人々がいるんです。

[00:20:17 - 00:20:23] まあどこでも、お金が入る方法あったら、すぐそこに人が商売するんだから。

[00:20:23 - 00:20:29] そこで病気を治す商売は、もうかなり盛んなんです。

[00:20:30 - 00:20:39] 気功法で病気を治すとか、あるいは運動で病気を治すとか、まあ、いろいろありますね。

[00:20:39 - 00:20:54] 思想食ですか、そういう方法で病気を治してくれるとか、瞑想方法から病気を治してあげるとか、認知理解で病気を治してあげるとか、霊の力で病気を治してあげるとかね。

[00:20:54 - 00:21:03] 僕はもう一人で考えてるんだけど、そんなに病気を治してあげるんだから、ならば一人も病人がいないはずなんですけど、なんでいるんですかと。

[00:21:03 - 00:21:06] 結局、儲け商売してるだけなんですよ。

[00:21:06 - 00:21:09] こっちはもう儲かるもんですよ。

[00:21:09 - 00:21:13] 日本では絶対ストレスは止まりません。

[00:21:13 - 00:21:16] 赤ちゃんにもストレスかかっちゃう。

[00:21:16 - 00:21:19] それから死ぬまでストレス溜まってるんです。

[00:21:19 - 00:21:22] それで病気になるのは当たり前なんですね。

[00:21:22 - 00:21:30] ですからこの病気を治す、ヒーリングの方々は、もう限りなく儲かっちゃうんですよ。

[00:21:30 - 00:21:38] で、僕から言えば限りなく儲かる権利あるのは、食料品作る人々だけなんです。

[00:21:38 - 00:21:42] 次に、まあ、服飾を作る人々なんですよ。

[00:21:42 - 00:21:44] なぜかというと毎日食べなくちゃいけない。

[00:21:44 - 00:21:48] 死ぬまで食べなくちゃいけない。それには終わりがないんです。

[00:21:48 - 00:21:53] ですから農業関係の人々は、儲かってもそれは罪がないんです。

[00:21:53 - 00:21:56] 毎日食べてるんだから。

[00:21:56 - 00:22:01] で、服とかそういうものを作る人々も、まあ、儲かってもしょうがないんです。

[00:22:01 - 00:22:06] まあ、結構儲かってるのはそちらの方ですけど、かわいそうに農業の人々はそれほど儲かってないんです。

[00:22:06 - 00:22:11] それすごく、まあ、良くないんだけどね。

[00:22:11 - 00:22:14] で、おかしいんですね。金持ちになるべき、

[00:22:14 - 00:22:17] 農業の方々は金持ちにならない。

[00:22:17 - 00:22:23] 金持ちにならなくたってもいい、こういういろいろデザイン関係の人々は、偉い金持ちなんです。

[00:22:23 - 00:22:27] まあ、それはそれで、皆様のことだから。

[00:22:27 - 00:22:36] で、その人々、3番目にお医者さんなんですね。

[00:22:36 - 00:22:42] なぜならば、いつでも病気になるわけじゃないんだけど、たまに人間は病気になる。

[00:22:42 - 00:22:45] その時はお医者さんのお世話になる。

[00:22:45 - 00:22:48] 死ぬ時までも病気になる可能性がある。

[00:22:48 - 00:23:02] ですから、農業の関係と服装の関係と病院の関係、その3人が、まあ、儲かってもいいんです。

[00:23:02 - 00:23:10] で、このヒーリングとか、そういうことをしている人々は、よく知ってるんですよ。

[00:23:10 - 00:23:27] いくら自分が力を入れたっても、いくら自分が念能力やら、超能力やら、神の力やら、こういう媒体として治したっても、まあ、明日また病気になりますと、明日また私が儲かりますと、ということを知ってるんです。

[00:23:27 - 00:23:36] ですから、私が言いたいのは、そうではなくて、一遍に自分の心の問題を治してください。

[00:23:36 - 00:23:40] 私は儲かりません、だから、どうしたっても。

[00:23:40 - 00:23:47] ですから、まあ、一遍に皆様の心を治す方法を教えてあげたいんです。

[00:23:47 - 00:23:54] 心を治してしまえば、体はきれいに治っていくんです。

[00:23:54 - 00:24:07] そこで、まあ、ちょっとテーマがおかしくなりましたけど、この、なんで心病気かと言うと、いろいろことで病気なんですね。

[00:24:07 - 00:24:15] 一番わかりやすいのは、このストレスの病気なんです。

[00:24:15 - 00:24:28] で、母はストレス溜まってるし、父はストレス溜まってるし、それで赤ちゃんにもストレスかかるようにしてあげる。

[00:24:28 - 00:24:46] ですから、できれば自分たちが、まあ、今赤ちゃんいる方々いらっしゃらないようなんですけど、我々は赤ちゃんの時もやっぱり落ち着くことを教えてあげなくちゃいけないんですよ。

[00:24:46 - 00:24:58] で、いろんな道具を使って赤ちゃんが泣く時はね、いろんな道具を使ったり、おもちゃを使ったり、いろんな音を使ったりして落ち着かしちゃうんですね。

[00:24:58 - 00:25:02] あれもまあ、できるだけやめたほうがいいんです。

[00:25:02 - 00:25:20] 赤ちゃんの機嫌がいい時、おもちゃをあげたり、いろいろ面白いものを見せたりしたって見せて、遊んでいいんだけど、で、かえって我々は赤ちゃんが泣いたり、神経質になったりするのはやめるために、道具を使っちゃうんですね。

[00:25:20 - 00:25:23] そこから間違ってるんです。

[00:25:23 - 00:25:35] 例えば赤ちゃんがね、お腹いっぱいミルクを飲んで、まあニコニコ笑って遊んでると、その時はいろんな道具を見せたり、いろんなことをあげたりして、遊んだほうがいいんです。

[00:25:35 - 00:25:39] 遊んでる時だから。

[00:25:39 - 00:25:53] それから赤ちゃんがなんとなくちょっとストレス溜まって泣いたりすると、そんな道具とか全部置いておいて、やっぱり心を落ち着くことをしてあげたほうがいいんですね。

[00:25:53 - 00:26:00] 小さな赤ちゃんだったらね、まあお母さん抱っこすることが一番いいんですけどね。

[00:26:00 - 00:26:08] で、胸に抱っこしてあげたりとか、まあそうするとどんどん落ち着く。

[00:26:08 - 00:26:10] あまり話しかけないほうがいいんですよ。

[00:26:10 - 00:26:16] 本人も落ち着いてないんだから、別に話しかけたっても、あの、さらにもうストレス溜まっちゃいますからね。

[00:26:16 - 00:26:29] で、お母さんがこの子供の機嫌がいいときはいっぱい喋ったりして、機嫌が悪いときはあまり喋らないで、もう無言で、ただスキンシップだけで落ち着かせてあげると。

[00:26:29 - 00:26:37] そういうふうにしてあげると、子供も小さい頃から一切溜まることはどんどんなくなるんです。

[00:26:37 - 00:26:51] で、3年ながら教育戦争でね、幼稚園に行かずそこでまたストレス溜まるし、小学校でまた溜まっちゃうし、中学校でずっとその一方なんですね。

[00:26:51 - 00:27:03] そこで仕事に入ったらさらに、結婚すればまた、子供が出たらまた、とかそういうふうに死ぬまで、仕事終わったら、やることないんだからまたストレス溜まったりする。

[00:27:03 - 00:27:06] それ癖なんですね。

[00:27:06 - 00:27:16] 仕事終わるんだからすごいストレス溜まっているようで、じゃあ一休みあげましょうって言ったら、やることないな、退屈だなと思ってまたストレスなんですね。

[00:27:16 - 00:27:20] 皆様方、このじーっとしてボケーっとしていること、分かりません。

[00:27:20 - 00:27:23] 分かり…できないんですね。

[00:27:23 - 00:27:28] ちょっと一休みすること、できないんですね。

[00:27:28 - 00:27:31] もし30分あればどうしますか？

[00:27:31 - 00:27:37] もし私が30分あげたら、ものすごくイライラするでしょう。

[00:27:37 - 00:27:39] すごくイライラするんですね。

[00:27:39 - 00:27:44] ということは、すごいストレスなんです。

[00:27:44 - 00:28:02] で、30分あったら本も読まないで、寝ることもしないで、ただじーっと待っていることができれば、そのストレス全部消えちゃうんです。

[00:28:02 - 00:28:06] 何もしないで、考えることもいけない。

[00:28:06 - 00:28:10] でも寝ることもいけない。

[00:28:10 - 00:28:14] それ、ちょっと難しいかもしれません。

[00:28:14 - 00:28:19] で、そういうふうに簡単なんですよ、心を癒すことは。

[00:28:19 - 00:28:24] 黙ってじーっとしていれば、もう心は治るんです。

[00:28:24 - 00:28:40] なんでそれができないかと言えば、それは私にはできますからしょうがないんだけど、皆様にはなんでできないかと、皆様から聞かないと…

[00:28:40 - 00:28:53] じゃあ、ストレス溜まらないように、どうすればいいんですか？

[00:28:53 - 00:28:56] そこが問題なんですね。

[00:28:56 - 00:29:03] それは、自分のことを余計な判断しているでしょ。

[00:29:03 - 00:29:05] それを置いておいてください。

[00:29:05 - 00:29:08] 我々はあまりろくな人間じゃないんだと。

[00:29:08 - 00:29:10] そんな大したもんじゃないんだと。

[00:29:10 - 00:29:15] 大した美人でもないし、大した知識人でもないんですよ。

[00:29:15 - 00:29:20] そんな我々が大した仕事をできるわけでもないんですよ。

[00:29:20 - 00:29:27] だから適当に、ほどほどに頑張っているんだと。

[00:29:27 - 00:29:31] その考え方が一番いいんですよ。

[00:29:31 - 00:29:39] それは社会に入ったら、ものすごい危険な考え方のように聞こえますけど、それは危険じゃないんです。

[00:29:39 - 00:29:47] 大したことをしようとして世界を破壊して、もうみんな自己破壊の道に行っているんだからね。

[00:29:47 - 00:29:59] 女性の方々は、ものすごく自分を美しく見せるために、綺麗に見せるために、なんだかんだも完璧にしようと思って、すごい苦しんでいるんですよ。

[00:30:00 - 00:30:12] まあ、そこまでしなくたってもいいんだと、ほっとすれば、あの恐ろしい苦しみが全部じわじわと消えてしまっちゃうんです。

